
Processing printEntranceMomentumTest.C++...
EventNtuple v06_03_00
There are 15985 to go over. Printing momenta from trkseg and trksegmc and their differences.
Track Seg Momentum: 103.053   TrackMC Seg Momentum: 103.094  Resolution: -0.0412979
Track Seg Momentum: 103.933   TrackMC Seg Momentum: 104.194  Resolution: -0.260979
Track Seg Momentum: 97.4429   TrackMC Seg Momentum: 97.4939  Resolution: -0.0509338
Track Seg Momentum: 102.134   TrackMC Seg Momentum: 104.337  Resolution: -2.20298
Track Seg Momentum: 103.834   TrackMC Seg Momentum: 103.742  Resolution: 0.0920334
Track Seg Momentum: 103.337   TrackMC Seg Momentum: 103.333  Resolution: 0.00358582
Track Seg Momentum: 103.536   TrackMC Seg Momentum: 103.321  Resolution: 0.214561
Track Seg Momentum: 104.602   TrackMC Seg Momentum: 104.703  Resolution: -0.101036
Track Seg Momentum: 84.9574   TrackMC Seg Momentum: 82.0117  Resolution: 2.94576
Track Seg Momentum: 103.486   TrackMC Seg Momentum: 104.08  Resolution: -0.594383
Track Seg Momentum: 104.524   TrackMC Seg Momentum: 104.566  Resolution: -0.0428391
Track Seg Momentum: 104.479   TrackMC Seg Momentum: 104.442  Resolution: 0.0371399
Track Seg Momentum: 104.341   TrackMC Seg Momentum: 104.466  Resolution: -0.124916
Track Seg Momentum: 103.851   TrackMC Seg Momentum: 103.866  Resolution: -0.0147095
Track Seg Momentum: 104.137   TrackMC Seg Momentum: 104.124  Resolution: 0.0131302
Track Seg Momentum: 103.008   TrackMC Seg Momentum: 103.078  Resolution: -0.0695419
Track Seg Momentum: 103.722   TrackMC Seg Momentum: 104.249  Resolution: -0.526817
Track Seg Momentum: 103.922   TrackMC Seg Momentum: 104.076  Resolution: -0.154152
Track Seg Momentum: 104.867   TrackMC Seg Momentum: 104.782  Resolution: 0.0844879
Track Seg Momentum: 102.97   TrackMC Seg Momentum: 103.078  Resolution: -0.108353
Track Seg Momentum: 104.474   TrackMC Seg Momentum: 104.187  Resolution: 0.28688
Track Seg Momentum: 104.001   TrackMC Seg Momentum: 104.746  Resolution: -0.744392
Track Seg Momentum: 104.284   TrackMC Seg Momentum: 104.223  Resolution: 0.0609818
Track Seg Momentum: 96.8995   TrackMC Seg Momentum: 103.87  Resolution: -6.97017
Track Seg Momentum: 103.857   TrackMC Seg Momentum: 103.876  Resolution: -0.0190506
Track Seg Momentum: 104.357   TrackMC Seg Momentum: 104.331  Resolution: 0.0265274
Track Seg Momentum: 103.364   TrackMC Seg Momentum: 103.457  Resolution: -0.0930176
Track Seg Momentum: 104.221   TrackMC Seg Momentum: 104.187  Resolution: 0.0346603
Track Seg Momentum: 103.473   TrackMC Seg Momentum: 104.099  Resolution: -0.626022
Track Seg Momentum: 98.5847   TrackMC Seg Momentum: 98.7306  Resolution: -0.145935
Track Seg Momentum: 88.8511   TrackMC Seg Momentum: 88.5846  Resolution: 0.266533
Track Seg Momentum: 101.127   TrackMC Seg Momentum: 102.073  Resolution: -0.945877
Track Seg Momentum: 104.429   TrackMC Seg Momentum: 104.72  Resolution: -0.291283
Track Seg Momentum: 102.878   TrackMC Seg Momentum: 102.95  Resolution: -0.0714874
Track Seg Momentum: 104.496   TrackMC Seg Momentum: 104.546  Resolution: -0.0501633
Track Seg Momentum: 104.536   TrackMC Seg Momentum: 104.409  Resolution: 0.126549
Track Seg Momentum: 102.191   TrackMC Seg Momentum: 102.444  Resolution: -0.252472
Track Seg Momentum: 104.593   TrackMC Seg Momentum: 104.59  Resolution: 0.00247955
Track Seg Momentum: 97.5016   TrackMC Seg Momentum: 104.353  Resolution: -6.85162
Track Seg Momentum: 103.947   TrackMC Seg Momentum: 103.776  Resolution: 0.170967
Track Seg Momentum: 104.189   TrackMC Seg Momentum: 104.682  Resolution: -0.492958
Track Seg Momentum: 104.077   TrackMC Seg Momentum: 104.421  Resolution: -0.343651
Track Seg Momentum: 104.679   TrackMC Seg Momentum: 104.604  Resolution: 0.0741653
Track Seg Momentum: 103.517   TrackMC Seg Momentum: 104.381  Resolution: -0.864441
Track Seg Momentum: 99.874   TrackMC Seg Momentum: 104.381  Resolution: -4.50742
Track Seg Momentum: 104.66   TrackMC Seg Momentum: 104.699  Resolution: -0.0389862
Track Seg Momentum: 104.369   TrackMC Seg Momentum: 104.584  Resolution: -0.214111
Track Seg Momentum: 104.551   TrackMC Seg Momentum: 104.519  Resolution: 0.0325623
Track Seg Momentum: 103.848   TrackMC Seg Momentum: 104.06  Resolution: -0.212082
Track Seg Momentum: 104.68   TrackMC Seg Momentum: 104.549  Resolution: 0.130608
Track Seg Momentum: 104.56   TrackMC Seg Momentum: 104.651  Resolution: -0.0906143
Track Seg Momentum: 105.382   TrackMC Seg Momentum: 103.834  Resolution: 1.54819
Track Seg Momentum: 104.489   TrackMC Seg Momentum: 104.088  Resolution: 0.401436
Track Seg Momentum: 104.238   TrackMC Seg Momentum: 104.036  Resolution: 0.202133
Track Seg Momentum: 102.758   TrackMC Seg Momentum: 102.615  Resolution: 0.142906
Track Seg Momentum: 96.3603   TrackMC Seg Momentum: 96.7983  Resolution: -0.438011
Track Seg Momentum: 103.599   TrackMC Seg Momentum: 103.487  Resolution: 0.111565
Track Seg Momentum: 103.561   TrackMC Seg Momentum: 103.672  Resolution: -0.11026
Track Seg Momentum: 103.966   TrackMC Seg Momentum: 103.85  Resolution: 0.116089
Track Seg Momentum: 103.785   TrackMC Seg Momentum: 103.637  Resolution: 0.148293
Track Seg Momentum: 104.06   TrackMC Seg Momentum: 104.125  Resolution: -0.0654373
Track Seg Momentum: 104.164   TrackMC Seg Momentum: 104.168  Resolution: -0.00393677
Track Seg Momentum: 103.983   TrackMC Seg Momentum: 103.86  Resolution: 0.12307
Track Seg Momentum: 103.802   TrackMC Seg Momentum: 104.145  Resolution: -0.342972
Track Seg Momentum: 103.823   TrackMC Seg Momentum: 104.074  Resolution: -0.250191
Track Seg Momentum: 104.336   TrackMC Seg Momentum: 104.475  Resolution: -0.139221
Track Seg Momentum: 102.143   TrackMC Seg Momentum: 103.92  Resolution: -1.77716
Track Seg Momentum: 104.595   TrackMC Seg Momentum: 104.655  Resolution: -0.0607071
Track Seg Momentum: 103.626   TrackMC Seg Momentum: 103.89  Resolution: -0.263657
